8T	AV1	AV2	B	C1	C2	D	DV	G	GE	H	IN12	IN2	IN5	M	MNP1	MNP2	MNP3	MST	N1	N3	N5	N6	N8	NK1	NK2	NKT1	NKT2	NP	P	PDC	PT1	PT2	PT3	Th	Group
0.0	4.590400991	1.210882419	0.135515222	0.03014338	0.0	0.013245922	3.563224418	1.687067015	1.102573181	0.0	0.0	0	0	6.994867121	0.203348254	0.364319556	0.455683964	0.01936343	0	0	0	0.0	3.437010444	0.0	1.020357317	0	0	0.0	0.115135915	0.175370013	0.0	0	0.0	0	Group1
0.0	4.066220938	0.430753094	0.372140155	0.0	0.0	0.0	2.573072466	4.02839539	1.663471125	0.0	0.0	0	0	6.712015152	0.842299533	0.789700418	0.078345237	0.006733918	0	0	0	0.0	2.550982827	0.169570166	1.093930519	0	0	0.165869037	0.0	0.096706634	0.0	0	0.0	0	Group1
0.0	5.240171593	1.388941848	0.386017921	0.0	0.0	0.0	3.921666638	3.155019893	1.988343078	0.0	0.0	0	0	7.229614275	0.723146265	0.556031147	0.379342791	0.013083442	0	0	0	0.0	2.499945547	0.0	1.023429259	0	0	0.216795808	0.0	0.149839233	0.0	0	0.0	0	Group1
0.0	5.246793756	0.809892197	0.430380608	0.0	0.0	0.0	3.768661438	3.06097219	1.20249126	0.0	0.0	0	0	6.929793043	0.523455587	0.643717991	0.373392954	0.007173367	0	0	0	0.0	3.592916257	0.0	1.070342778	0	0	0.16073818	0.164238782	0.217532387	0.0	0	0.0	0	Group1
0.0	3.507029991	2.309727978	0.291573611	0.0	0.0	0.0	5.08999872	2.341710814	1.754423639	0.0	0.0	0	0	6.372360328	0.342166193	1.011874082	0.628834343	0.020733427	0	0	0	0.0	3.466427345	0.0	1.115738243	0	0	0.0	0.047184362	0.122538956	0.0	0	0.0	0	Group1
0.0	3.368339375	1.269551566	0.449764109	0.0	0.0	0.0	1.925553802	2.148198109	1.855879292	0.0	0.0	0	0	9.374576657	0.273094131	0.41578235	0.114592329	0.010600094	0	0	0	0.0	3.522085825	0.130802933	0.895979966	0	0	0.0	0.042666338	0.109753397	0.0	0	0.0	0	Group1
0.0	4.819090598	1.387184772	0.410216755	0.0	0.0	0.0	4.269948979	2.285266674	1.734632492	0.0	0.0	0	0	6.794602886	0.61320102	0.631197362	0.475540966	0.005368862	0	0	0	0.0	3.268164723	0.0	1.082664818	0	0	0.12395069	0.014257712	0.129088094	0.0	0	0.038888149	0	Group1
0.0	3.342649537	1.18114061	0.392818402	0.0	0.0	0.0	3.262894015	5.512347479	1.409210929	0.0	0.0	0	0	7.091234371	0.616965112	0.600973778	0.050214353	0.012900964	0	0	0	0.0	3.43219903	0.0	0.768825019	0	0	0.211451903	0.006748168	0.068334983	0.0	0	0.0	0	Group1
0.0	3.749759893	0.926025785	0.418153629	0.0	0.0	0.0	3.276837496	4.454234424	1.90444942	0.0	0.007157259	0	0	7.140190595	0.69185393	0.396120531	0.116766242	0.003267667	0	0	0	0.0	2.079357543	0.0	0.718436655	0	0	0.188074308	0.011823009	0.080479102	0.0	0	0.0	0	Group1
0.0	4.334017106	1.210280932	0.289183103	0.0	0.0	0.0	3.663777648	1.655233546	1.820618376	0.0	0.0	0	0	6.214886314	0.482385367	0.655670435	0.652778263	0.000307577	0	0	0	0.0	2.269846572	0.010331751	1.041533895	0	0	0.0	0.0	0.158866682	0.0	0	0.052576278	0	Group1
