sample	normal	DKD
disease3_scan | 007 | Geometric Segment	1	0
disease3_scan | 008 | Geometric Segment	1	0
disease3_scan | 009 | Geometric Segment	1	0
disease3_scan | 010 | Geometric Segment	1	0
disease3_scan | 011 | Geometric Segment	1	0
disease3_scan | 012 | Geometric Segment	1	0
disease3_scan | 013 | Geometric Segment	1	0
disease3_scan | 014 | Geometric Segment	1	0
disease3_scan | 015 | Geometric Segment	1	0
disease3_scan | 016 | Geometric Segment	1	0
disease3_scan | 017 | Geometric Segment	1	0
disease3_scan | 018 | Geometric Segment	1	0
disease3_scan | 019 | Geometric Segment	1	0
disease3_scan | 020 | Geometric Segment	1	0
disease3_scan | 021 | Geometric Segment	1	0
disease3_scan | 022 | Geometric Segment	1	0
disease3_scan | 023 | Geometric Segment	1	0
disease3_scan | 024 | Geometric Segment	1	0
disease3_scan | 025 | Geometric Segment	1	0
disease3_scan | 026 | Geometric Segment	1	0
disease3_scan | 027 | Geometric Segment	1	0
disease3_scan | 028 | Geometric Segment	1	0
disease3_scan | 029 | Geometric Segment	1	0
disease3_scan | 030 | Geometric Segment	1	0
disease3_scan | 031 | Geometric Segment	1	0
disease3_scan | 032 | Geometric Segment	1	0
disease3_scan | 033 | Geometric Segment	1	0
disease3_scan | 034 | Geometric Segment	1	0
disease3_scan | 035 | Geometric Segment	1	0
disease3_scan | 036 | Geometric Segment	1	0
disease3_scan | 037 | Geometric Segment	1	0
disease3_scan | 038 | Geometric Segment	1	0
disease3_scan | 039 | Geometric Segment	1	0
disease3_scan | 040 | Geometric Segment	1	0
disease3_scan | 041 | Geometric Segment	1	0
disease3_scan | 042 | Geometric Segment	1	0
disease3_scan | 043 | Geometric Segment	1	0
disease3_scan | 044 | Geometric Segment	1	0
disease3_scan | 045 | Geometric Segment	1	0
disease3_scan | 046 | Geometric Segment	1	0
disease3_scan | 047 | Geometric Segment	1	0
disease3_scan | 048 | Geometric Segment	1	0
disease3_scan | 049 | Geometric Segment	1	0
disease3_scan | 050 | Geometric Segment	1	0
disease3_scan | 051 | Geometric Segment	1	0
disease3_scan | 052 | Geometric Segment	1	0
disease3_scan | 053 | Geometric Segment	1	0
disease3_scan | 001 | PanCK	0	1
disease3_scan | 002 | PanCK	0	1
disease3_scan | 003 | PanCK	0	1
disease3_scan | 004 | PanCK	0	1
disease3_scan | 005 | PanCK	0	1
disease3_scan | 006 | PanCK	0	1
disease3_scan | 001 | neg	0	1
disease3_scan | 002 | neg	0	1
disease3_scan | 003 | neg	0	1
disease3_scan | 004 | neg	0	1
disease3_scan | 005 | neg	0	1
disease3_scan | 006 | neg	0	1
